device_key,name,unit,device_id,device_name,address_ip
9b97f5da-0328-42ac-94c4-d9f0b673e5e0,P Tot.,W,dbe8aab6-04ea-4a44-971c-d796a5623ba8,A-1/TGBT1/M50,192.168.7.9
8fc93443-7b1e-473e-a2e7-f24bfa8692ec,Positive active power history,W,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
6939244f-d11f-4d50-9877-88cc6a0fac78,Uca,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
6f43de9b-7612-4d35-9d0c-d7a431589e51,THD Uca,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
b4e8b8d9-444e-4ed6-af38-396ac5201f2e,THD Vb,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
cb4b91ab-b13b-4e70-865a-b91731194bd5,Va,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
8e40dc28-ea5b-474c-9139-20ac5d22db53,Ia,A,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
81301499-a949-4114-8d90-d96d819f278b,Positive reactive power history,var,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
df24cab4-3413-43c6-91c5-88e023565f9b,Negative active power history,W,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
de842b54-0f09-4657-a8d0-d17775a9fa92,THD Vc,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
be2697e1-9e9b-41de-8c84-f14290eaa8bf,Negative reactive power history,var,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
5c03b069-ea68-4f46-b99a-860d6aaaf660,Q Tot.,var,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
9566f243-2fcf-422c-bbd5-04f680edaae3,Apparent power history,VA,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
b7d8da7a-0712-4585-a464-702f4fc789c7,Vc,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
59fc3f04-00a4-4ba2-8bca-37153f7f90f8,Total Es,VAh,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
7161f038-c091-4881-aab4-117e76f7ad6b,THD Ib,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
9b1aaab7-faa7-463d-b5a1-67b70d677a8f,In,A,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
5d36c37b-874f-48cf-857e-e49efa7a3155,Ib,A,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
472a0530-45b3-453b-939f-47ea8eca3c2e,THD In,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
fe6d4171-2f7a-4057-935f-fa6260810448,THD Ic,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
e60d7221-571c-4260-a579-aa97c92ee45d,THD Va,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
d11ccfaf-3239-41dd-aa1a-1b7388f0ddf6,S Tot.,VA,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
346745ca-fd89-4a8e-99bd-0f8865239cfa,THD Ubc,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
cffa9566-405b-4734-bd3d-c0768330efb5,Ubc,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
523cd9f9-f810-4af8-932d-e9d2b312d056,Total Er-,varh,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
dfd80e27-bc59-4d7b-a451-abf7f72a5d0c,THD Ia,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
3b5e67fe-98b2-4c64-abf1-c3531bd71f33,Total Er+,varh,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
75af02a6-87df-474b-b3be-8f25764c229f,PF Tot.,-,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
3f113a75-7c8f-4b9d-853e-0d75b10048c2,Frequency,Hz,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
d056ee02-b653-43ee-9f3f-da93dfef846a,Uab,V,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
6f5004bb-5915-49d1-87e8-2a2794f28f48,Total Ea-,Wh,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
a869af7d-fb50-4754-b3a2-097035a1dc33,P Tot.,W,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
6b054887-628c-4358-a2a0-1ec710688a5a,THD Uab,%,a515c7e0-9b41-11cd-8b87-00008cc7aed7,A-1/TGBT1/I-35-1@5,192.168.7.9
